     1→"slug","name","sanskrit","category","tradition","level","duration_hours","days","authenticity_score","summary","primary_mantra","lineage","benefits","warnings","evidence_count","evidence_sources"
    12→"kumbhaka","Kumbhaka","कुम्भक — Breath Retention","Prāṇāyāma","Haṭha / Rāja Yoga","Intermediate","18","30","91","The deliberate, measured retention of breath (antar/sahita) described in the Yoga Sūtras as the means by which 'the veil over illumination is thinned.'","(silent retention; the natural Oṃ of the held breath)","Patañjali (Yoga Sūtras) → Haṭha corpus → modern yoga revival.","A documented bridge from breath practice to meditative concentration ; Trains autonomic steadiness and CO₂ tolerance (gently) ; Central to classical aṣṭāṅga methodology","Never retain to the point of gasping, dizziness, or distress ; Those with cardiovascular or respiratory conditions must proceed only with clinical guidance ; Build ratios gradually over weeks, not days","1","[high] Yoga Sūtras II.49–52 (primary) — https://www.wisdomlib.org/hinduism/book/yoga-sutras-of-patanjali"
    13→"chakra-dharana","Cakra Dhāraṇā","चक्र धारणा — Concentration on the Centers","Dhāraṇā","Tantra","Intermediate","22","40","87","Structured concentration upon the six principal psycho-spiritual centers (mūlādhāra → ājñā), each visualized with its element, color, and seed-syllable.","laṃ · vaṃ · raṃ · yaṃ · haṃ · oṃ  (the ascending bījas)","Tantric cakra literature → Śrī Vidyā → modern integrative yoga.","A complete symbolic system linking body, element, and sound ; Trains layered visualization and sustained attention ; Foundation for kuṇḍalinī-oriented practices (with proper grounding)","Intensive kuṇḍalinī work is held by tradition to require a qualified guide; symbolic visualization is the safer, open entry ; Discontinue if disturbing imagery or dissociation arises","1","[high] Ṣaṭ-Cakra-Nirūpaṇa vv. 1–55, 104–112 (primary) — https://www.wisdomlib.org/hinduism/book/shat-chakra-nirupana"
    14→"manasika-japa","Mānasika Japa","मानसिक जप — Mental Repetition","Mantra","Universal","Foundation","10","21","93","The wholly internal repetition of a mantra, without movement of lips or breath — regarded as the most subtle and powerful mode of japa.","(the practitioner's chosen seed or verse, repeated in silence)","Foundational across Vedānta, Tantra, bhakti, and yoga lineages.","Trains pure internal attention independent of physical action ; Portable, invisible, and usable in any setting ; The mature form toward which all japa tends","Drowsiness is the chief obstacle; keep the spine alert ; Do not regard mechanical counting as the goal — quality governs","1","[medium] Manu Smṛti II.85; Haṭha texts (primary)"
    15→"sandhya-vandanam","Sandhyā Vandanam","सन्ध्यावन्दनम् — The Twilight Rites","Ritual","Vedic (Smārta)","Foundation","25","60","94","The thrice-daily Vedic discipline performed at the junctures (sandhyā) of dawn, noon, and dusk — arguably the oldest continuously practiced contemplative ritual on earth.","gāyatrī japa (108×) preceded by 'oṃ bhūr bhuvaḥ svaḥ...'","Vedic ritual schools (Taittirīya, Ṛgveda, etc.) → Smārta tradition → present-day practitioners.","A living relic of continuous Vedic ritual practice (3,000+ years) ; Integrates breath, gesture, and invocation in a single choreography ; Models ritual as a discipline of time (the junctures of light)","A complex ritual traditionally learned by direct transmission; study before attempting ; Presented here as documented heritage, not as a prescription","1","[high] Taittirīya Āraṇyaka; Gṛhya Sūtras (primary)"
    16→"preta-siddhi","Preta-Saṁvāda (Spirit Dialogue)","प्रेतसंवाद — Dialogue with the Departed","Tantra","Tantra / Aghora / Kaula","Advanced","24","3","72","A complete Aghora/Kaula field rite for invoking, questioning, and releasing a preta (restless spirit) within a protected maṇḍala. Documented in the supplied Preta-Siddhi field manual.","oṃ pretātmane āvāhayāmi satyaṁ prakāśaya prakāśaya svāhā  (the invocation, 108×)","Aghora / Kaula tantric oral transmission → modern compilations; no single textual witness; preserved as a field manual of operational detail.","Documents a complete operational rite with yantra, maṇḍala, and diagnostic protocol ; Surfaces the dual-rite release logic (substitution vs. severance) found across Aghora lineages ; Preserves the seven mūla-prashna as a diagnostic of spirit-binding causes","HIGH CAUTION — spirit-contact rite; not to be undertaken without lineage transmission ; The source manual warns that the preta's suffering is 'infectious' to unprepared prāṇa and manas ; Never reuse a preta-sandhi yantra — single engagement only, then immersed in running water ; Do not perform the full kriyā more than once a fortnight; it drains prāṇa ; Several mantras in the source carry apparent transmission artifacts; the editorial-correction table in the field manual should be consulted","1","[medium] Preta-Siddhi Field Manual (user-supplied transcription, Aghora/Kaula) (primary)"
    17→"bagalamukhi-sadhana","Bagalāmukhī Sādhana","बगलामुखी — The Paralysing Goddess","Tantra","Śākta (Daśa Mahāvidyā)","Advanced","24","45","78","The eighth Mahāvidyā, embodying stambhana (paralysis) — the power to silence hostile speech and arrest inauspicious force. Attested in the Todala Tantra and Rudrayāmala.","the specific mūla-mantra varies across recensions; the bīja-syllable hrīṁ and the namaskāra 'oṃ hrīṁ bagalāmukhī devyai namaḥ' are publicly attested","Todala Tantra → Rudrayāmala → Pitāmbarā Peeth recension → modern Śākta paddhatis. Academic study: D.G. White (Kiss of the Yoginī, 2003), Sanderson (Śaiva Exegesis, 2007), Goudriaan & Gupta (Hindu Tantric and Śākta Literature, 1981).","Documents one of the ten Mahāvidyās in their textual lineage ; Surfaces the stambhana framework as a category of contemplative action ; Connects to a substantial academic literature on Śākta tantric practice","HIGH CAUTION — advanced Mahāvidyā practice, traditionally requires dīkṣā ; Stambhana rites are categorized as ugra (fierce); the source texts warn against casual undertaking ; The Pitāmbarā Peeth recension carries explicit restriction against open publication of the mūla-mantra ; Not appropriate for practitioners without a Śākta lineage grounding","5","[high] Todala Tantra ch. 6 (mūla-mantras of the 10 Mahāvidyās) (primary) — https://archive.org/details/todala-tantra | [high] Rudrayāmala (Bagalāmukhī-stotra section, Uttara-tantra) (primary) | [high] Bagalāmukhī Rahasyam (Pitāmbarā Peeth, Datia, 1st ed. 1964) (primary) | [high] D.G. White, Kiss of the Yoginī (Chicago, 2003) (scholarly) | [high] Goudriaan & Gupta, Hindu Tantric and Śākta Literature (Harrassowitz, 1981) (scholarly)"
    18→"chinnamasta-sadhana","Chinnamastā Sādhana","चिन्नमस्ता — The Self-Decapitated Goddess","Tantra","Śākta (Daśa Mahāvidyā)","Advanced","24","45","80","The third Mahāvidyā, iconographically depicted as self-decapitated, holding her own severed head while her two attendants drink the three streams of blood. Attested in Śāradā Tilaka ch. 7 and Prāṇatoṣiṇī commentary.","the mūla-mantra and the bīja 'hūṁ' are publicly attested; the operational form is dīkṣā-restricted","Śāradā Tilaka (c. 8th-11th c.) → Prāṇatoṣiṇī commentary (Bhatțoji Dīkṣita) → Śakti Saṅgama Tantra → modern Śākta paddhatis. Academic study: Benard 1994.","Documents one of the most theologically dense Mahāvidyā iconographies ; Surfaces the self-offering theology of the prāṇa-cycle ; Connects to academic work by Benard and Ramachandra Rao","HIGH CAUTION — advanced Mahāvidyā practice ; The iconography itself is psychologically intense; the source texts warn that the sādhana requires stable psychological grounding ; The mūla-mantra is dīkṣā-restricted in published editions ; Not appropriate for practitioners without a Śākta lineage grounding","3","[high] Śāradā Tilaka ch. 7 + Prāṇatoṣiṇī commentary (1898 ed.) (primary) — https://archive.org/details/pranatoshini | [high] Śakti Saṅgama Tantra, Chinnamastā Khaṇḍa (primary) | [high] E. Benard, Chinnamastā: The Aweful Buddhist and Hindu Tantric Goddess (Motilal Banarsidass, 1994) (scholarly)"
    19→"kala-bhairava-sadhana","Kāla Bhairava Aṣṭākṣara Sādhana","काल भैरव — The Terrifying Form of Śiva","Tantra","Śaiva (Kashmir Śaiva / Siddhānta)","Advanced","18","41","82","Sādhana of Kāla Bhairava — the fierce, time-bound form of Śiva who guards the threshold and dissolves fear. Attested in the Svacchanda Tantra and the Kāla Bhairavāṣṭakam.","the aṣṭākṣara is attested in the Svacchanda Tantra; the specific bīja-syllables are dīkṣā-restricted. The Kāla Bhairavāṣṭakam is publicly recited.","Svacchanda Tantra (Kashmir Śaiva, c. 7th-9th c.) → Abhinavagupta's commentary → modern Śaiva paddhatis. Devotional stream: Kāla Bhairavāṣṭakam (traditional attribution to Śaṅkarācārya, unverifiable). Academic: Dyczkowski (The Canon of the Śaivāgama), Sanderson (Śaiva Exegesis).","Documents a major Śaiva ugra-devatā practice with strong textual attestation ; Connects the contemplative and devotional streams of Bhairava worship ; Surfaces the Svacchanda Tantra as a primary scriptural source","HIGH CAUTION — ugra-devatā practice; traditionally requires dīkṣā ; The Svacchanda Tantra prescribes specific nyāsa and āvāhana preliminaries; without these the japa is held to be ineffective or destabilising ; The attribution of the Kāla Bhairavāṣṭakam to Śaṅkarācārya is traditional and unverifiable ; Not appropriate for practitioners without a Śaiva lineage grounding","3","[high] Svacchanda Tantra (Kashmir Śaiva) (primary) — https://www.wisdomlib.org/hinduism/book/svacchanda-tantra | [medium] Kāla Bhairavāṣṭakam (traditional attribution to Śaṅkarācārya, unverifiable) (primary) — https://archive.org/details/completeworksofs00sanauoft | [high] Dyczkowski, The Canon of the Śaivāgama and the Kubjikā Tantras (1988) (scholarly)"
    20→"bala-tripurasundari-sadhana","Bālā Tripurasundarī (Bālā Pañcadaśākṣarī)","बालात्रिपुरसुन्दरी — The Girl-Form of the Goddess","Tantra","Śrī Vidyā (Śākta)","Advanced","20","45","84","Sādhana of Bālā Tripurasundarī — the girl-form (bālā) of the Goddess, the entry-level practice of Śrī Vidyā using the 15-syllable pañcadaśākṣarī mantra. Attested in the Vāmakeśvara Tantra and Paraśurāma Kalpasūtra.","the pañcadaśākṣarī (15-syllable) is dīkṣā-restricted; the Bālā bīja-mantra (3-syllable) is the entry-level form, also dīkṣā-restricted in operational form","Vāmakeśvara Tantra → Bhāvanā Upaniṣad → Paraśurāma Kalpasūtra (c. 10th-11th c.) + Rāmeśvara Sūtri commentary → modern Śrī Vidyā paddhatis. Academic: S.K. Ramchandra Rao, André Padoux, Madhu Khanna.","Documents the entry-level practice of the Śrī Vidyā canon ; Surfaces the Vāmakeśvara Tantra and Paraśurāma Kalpasūtra as primary sources ; Connects to a substantial academic literature (Padoux, Khanna, Rao)","HIGH CAUTION — advanced Śrī Vidyā practice, traditionally requires dīkṣā ; The pañcadaśākṣarī is held to require precise pronunciation; the source texts warn that incorrect japa is destabilising rather than merely ineffective ; The mūla-mantra is dīkṣā-restricted in published editions ; Not appropriate for practitioners without a Śrī Vidyā lineage holder","5","[high] Vāmakeśvara Tantra (primary) | [high] Bhāvanā Upaniṣad (Śrī Cakra and pañcadaśī) (primary) | [high] Paraśurāma Kalpasūtra (c. 10th-11th c.) + Rāmeśvara Sūtri commentary (primary) — https://archive.org/details/srividya-sadhana-vol-1 | [high] S.K. Ramchandra Rao, Tantra of Śrī Cakra (Kalpatharu, 1989) (scholarly) | [high] A. Padoux, Vac: The Concept of the Word in Selected Hindu Tantras (SUNY, 1990) (scholarly)"
    21→"vajrayogini-sadhana","Vajravārāhī / Vajrayoginī Sādhana","वज्रवाराही — The Adamantine Sow-Headed Ḍākinī","Tantra","Buddhist Tantra (Cakrasaṃvara cycle)","Advanced","24","60","86","Sādhana of Vajravārāhī (Vajrayoginī) — the adamantine sow-headed ḍākinī of the Cakrasaṃvara cycle. Attested in the Śrī Vajravārāhīsādhana and the Cakrasaṃvara-tantra.","the 10-syllable (or 12-syllable in some recensions) Vajravārāhī mantra is attested in the Śrī Vajravārāhīsādhana; the operational form is dīkṣā-restricted. The seed-syllable hrīṁ is publicly attested.","Cakrasaṃvara-tantra → Śrī Vajravārāhīsādhana (Sanskrit, DSBC) → Tibetan (bKa' brgyud, Sa skya, dGe lugs transmissions) → Newari tradition. Academic: English 2002 (full monograph), Davidson 2002.","Documents the principal female deity of the Buddhist mother-tantras ; Surfaces the Śrī Vajravārāhīsādhana and Cakrasaṃvara-tantra as primary sources ; Connects to substantial academic study (English 2002, Davidson 2002)","HIGH CAUTION — advanced Buddhist mother-tantra practice; requires abhiṣeka (empowerment) ; The Cakrasaṃvara cycle is held in the Tibetan tradition to require completion-stage preliminaries ; The operational mantra is dīkṣā-restricted in published editions ; Not appropriate for practitioners without a Tibetan or Newari Buddhist lineage transmission","4","[high] Śrī Vajravārāhīsādhana (Digital Sanskrit Buddhist Canon) (primary) — https://www.dsbcproject.org/ | [high] Cakrasaṃvara-tantra (primary) | [high] E. English, Vajrayoginī: Her Visualizations, Rituals, and Forms (Wisdom, 2002) (scholarly) — https://archive.org/details/vajrayogini-her-visualizations-rituals-forms | [high] R. Davidson, Indian Esoteric Buddhism (Columbia, 2002) (scholarly)"
    22→"sudarshana-chakra-sadhana","Sudarśana Chakra Sādhana","सुदर्शन चक्र — The Discus of Viṣṇu","Tantra","Śrī Vaiṣṇava (Pāñcarātra)","Intermediate","16","41","83","Sādhana of the Sudarśana Chakra — the discus of Viṣṇu, wielded as the instrument of protective dharma. Attested in the Ahirbudhnya Saṃhitā and the Sudarśana Kavaca tradition.","the Sudarśana mūla-mantra is attested in the Ahirbudhnya Saṃhitā; the operational form is dīkṣā-restricted. The Sudarśana aṣṭākṣara 'oṃ namaḥ nārāyaṇāya' is publicly recited.","Ahirbudhnya Saṃhitā (Pāñcarātra, c. 6th-9th c.) → Sudarśana Kavaca tradition → Śrī Vaiṣṇava Ācārya transmission → modern Pāñcarātra paddhatis. Academic: Schrader 1916, S. Gupta.","Documents a major Śrī Vaiṣṇava protective practice with strong textual attestation ; Surfaces the Ahirbudhnya Saṃhitā as a primary Pāñcarātra source ; Connects to academic study by Schrader and Gupta","MODERATE CAUTION — protective Pāñcarātra practice ; The mūla-mantra is dīkṣā-restricted in published editions; the operational japa requires Ācārya transmission in the Śrī Vaiṣṇava tradition ; The Sudarśana homa (fire ritual) involves prescribed materials and should only be performed by trained Ācāryas","2","[high] Ahirbudhnya Saṃhitā (Pāñcarātra, c. 6th-9th c.) (primary) — https://archive.org/details/ahirbudhnya-samhita | [high] F.O. Schrader, Introduction to the Pāñcarātra and the Ahirbudhnya Saṃhitā (1916) (scholarly) — https://archive.org/details/introductiontoth00schruoft"
    23→"pratyangira-devi-sadhana","Pratyaṅgirā Devī Sādhana","प्रत्यङ्गिरा — The Atharvaṇa Protective Goddess","Tantra","Śākta (Atharvaṇa / Aghora)","Advanced","24","41","70","Sādhana of Pratyaṅgirā Devī — the protective goddess of the Atharvaṇa tradition, invoked to neutralise hostile force. Attested in the Atharvānokta Pratyaṅgirā Vidhāna and Pratyaṅgirā Kalpa.","the mūla-mantra is attested in the Atharvānokta Pratyaṅgirā Vidhāna; the operational form is dīkṣā-restricted. The public form 'oṃ hrīṁ pratyaṅgirāyai namaḥ' is widely recited.","Atharvānokta Pratyaṅgirā Vidhāna → Pratyaṅgirā Kalpa → Viprīta Pratyaṅgirā Vidhānam (Sanskrit manuscripts, Internet Archive) → modern Śākta-Aghora paddhatis. Academic: Hatley 2007 (Brahmayāmalatantra, milieu coverage), Sanderson (general Śaiva-Śākta context).","Documents a major Śākta-Atharvaṇa protective practice ; Surfaces the Internet Archive manuscripts as primary sources ; Fills a gap in the academic coverage of Śākta tantric protective deities","HIGH CAUTION — Atharvaṇa protective rite; traditionally requires dīkṣā ; The Pratyaṅgirā Vidhāna prescribes specific nyāsa, āvāhana, and bali preliminaries; without these the japa is held to be ineffective or destabilising ; The mūla-mantra is dīkṣā-restricted in published editions ; The academic literature specifically on Pratyaṅgirā is thin; readers should consult the Sanskrit manuscripts directly for primary attestation ; Not appropriate for practitioners without a Śākta-Atharvaṇa lineage grounding","4","[high] Atharvānokta Pratyaṅgirā Vidhāna (Sanskrit manuscript, Internet Archive) (primary) — https://archive.org/details/atharvanokta-pratyangira-vidhana | [high] Pratyaṅgirā Kalpa (Sanskrit manuscript, Internet Archive) (primary) — https://archive.org/details/pratyangira-kalpa | [high] Viprīta Pratyaṅgirā Vidhānam (Sanskrit manuscript, Internet Archive) (primary) — https://archive.org/details/viprita-pratyangira-vidhanam | [medium] Shaman Hatley, The Brahmayāmalatantra and Early Śaiva Cult of Yoginīs (diss. 2007) (scholarly)"
    24→"dhumavati-sadhana","Dhūmāvatī Sādhana","धूमावती — The Smoke-Clad Widow","Tantra","Śākta (Daśa Mahāvidyā)","Advanced","24","45","79","The seventh Mahāvidyā, iconographically depicted as an aged, smoke-clad widow riding a crow, embodying inauspiciousness, decay, and the wisdom of all that is rejected. Attested in Dhūmāvatī Tantra and Śākta Praamoda.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'dhūṃ dhūmāvatyai namaḥ'","Dhūmāvatī Tantra → Śākta Praamoda digest → modern Śākta paddhatis. Academic: Kinsley 1997, van Kooij 1972, Goudriaan & Gupta 1981.","Documents the most deliberately inauspicious Mahāvidyā form ; Surfaces the Śākta theology of wisdom-through-decay ; Connects to Kinsley's scholarly treatment of the Mahāvidyās","HIGH CAUTION — advanced Mahāvidyā practice; traditionally requires dīkṣā ; The textual tradition warns that improper practice manifests the very inauspiciousness the goddess embodies ; The mūla-mantra is dīkṣā-restricted in the Śākta Praamoda and related editions ; Not appropriate for practitioners without a Śākta lineage grounding","4","[high] Dhūmāvatī Tantra (Sanskrit, Internet Archive) (primary) — https://archive.org/details/dhumavati-tantra | [high] Śākta Praamoda (Rājadevanandan & Devnandan Singh eds., Internet Archive) (primary) — https://archive.org/details/sakta-pramoda | [high] David Kinsley, Tantric Visions of the Divine Feminine (UC Press, 1997) (scholarly) | [medium] Karel van Kooij, Worship of the Goddess according to the Kālikāpurāṇa (1972) (scholarly)"
    25→"matangi-sadhana","Mātaṅgī Sādhana (Ucchiṣṭa Caṇḍālinī)","मातङ्गी — The Leftover Goddess","Tantra","Śākta (Daśa Mahāvidyā)","Advanced","24","45","81","The tenth Mahāvidyā, in her Ucchiṣṭa Caṇḍālinī form — the goddess worshipped with leftover food, embodying the transgressive wisdom of the marginal. Attested in the Gandharva Tantra and Mātaṅgī Tantra.","the mūla-mantra is dīkṣā-restricted in published editions; the publicly attested bīja-frame is 'oṃ hrīṁ aim̐ mātaṅgyai namaḥ'","Gandharva Tantra (Kak & Shastri 1934 ed.) → Mātaṅgī Tantra → Śākta Praamoda → modern Śākta paddhatis. Academic: Kinsley 1997, White 2003, Goudriaan & Gupta 1981.","Documents the transgressive Ucchiṣṭa Caṇḍālinī form of the Goddess ; Surfaces the Śākta theology of the marginal and the rejected ; Connects to academic work on Śākta transgressive practice (White, Kinsley)","HIGH CAUTION — advanced Mahāvidyā practice; traditionally requires dīkṣā ; The Ucchiṣṭa form involves deliberate inversion of purity protocols; the textual tradition warns against casual undertaking ; The mūla-mantra is dīkṣā-restricted in published editions ; Not appropriate for practitioners without a Śākta lineage grounding","4","[high] Gandharva Tantra (Kak & Shastri 1934 ed., Internet Archive) (primary) — https://archive.org/details/gandharva-tantra | [high] Mātaṅgī Mahāvidyā (Goswami Prahlad Giri, Internet Archive) (primary) — https://archive.org/details/matangi-mahavidya | [high] D.G. White, Kiss of the Yoginī (Chicago, 2003) (scholarly) | [high] Kinsley, Tantric Visions of the Divine Feminine (1997, ch. 8) (scholarly)"
